OrderID,OrderDate,name,category,price,short_description,dimensions,link
O1027,2024-06-25,LAGAN,Appliances,600.0,,,
O1028,2023-11-04,FÄLTSKÄR,Bedding,45.0,,,
O1031,2024-05-10,MILLBERGET,Chairs,150.0,Swivel chair,Fondo: 65.0cm,https://www.ikea.com/sa/en/p/millberget-swivel-chair-bomstad-black-90339412/
O1032,2023-06-21,OFTAST,Dinnerware,1.49,,,
O1032,2023-06-22,TILLREDA,Appliances,957.28,,,
O1033,2024-10-21,GULLKLOCKA,Bedding,59.99,,,
O1033,2024-10-18,VINDUM,Rugs,250.0,,,
O1035,2024-04-03,GRÖNLID,Beds,650.0,2-seat sofa-bed,"Ancho: 196.0cm, Alto: 104.0cm, Fondo: 98.0cm",https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/
O1036,2023-09-17,KALLAX,Bookcases & shelving units,45.99,"Shelving unit, 77x77 cm","Ancho: 77.0cm, Alto: 77.0cm, Fondo: 39.0cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/
O1036,2023-09-17,LAGAN,Appliances,600.0,,,
O1038,2023-01-08,GULLKLOCKA,Bedding,55.0,,,
O1039,2024-10-29,FADO,Lamps,22.0,,,
O1039,2024-10-29,FADO,Lamps,22.0,,,
O1040,2023-08-20,LINNMON/ADILS,Tables,260.12,,,
O1044,2023-03-12,ADDE,Chairs,11.2,Chair,"Ancho: 39.0cm, Alto: 77.0cm, Fondo: 47.0cm",https://www.ikea.com/sa/en/p/adde-chair-white-10219178/
O1044,2023-03-12,TILLREDA,Appliances,957.28,,,
O1045,2024-12-05,HEKTAR,Lamps,930.56,,,
O1045,2024-12-05,TRÅDFRI,Lighting,15.0,,,
O1048,2023-04-05,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1048,2023-04-07,LERSTA,Lamps,5.99,,,
O1049,2024-06-19,FÄRGRIK,Dinnerware,1.89,,,
O1049,2024-06-20,OFTAST,Dinnerware,1.49,,,
O1050,2023-11-13,ADDE,Chairs,11.2,Chair,"Ancho: 39.0cm, Alto: 77.0cm, Fondo: 47.0cm",https://www.ikea.com/sa/en/p/adde-chair-white-10219178/
O1050,2023-11-12,BRIMNES,Beds,321.05,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1050,2023-11-10,FADO,Lamps,22.0,,,
O1050,2023-11-10,OFTAST,Dinnerware,1.49,,,
O1050,2023-11-12,OFTAST,Dinnerware,1.49,,,
O1050,2023-11-09,STOENSE,Rugs,140.91,,,
O1051,2024-03-01,LERSTA,Lamps,5.99,,,
O1051,2024-03-01,ODGER,Chairs,448.33,Swivel chair,"Ancho: 68.0cm, Fondo: 68.0cm",https://www.ikea.com/sa/en/p/odger-swivel-chair-white-beige-70308685/
O1052,2023-06-06,INGATORP,Chairs,546.04,"Table and 4 chairs, 155 cm","Ancho: 87.0cm, Alto: 74.0cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
O1054,2023-01-20,FADO,Lamps,22.0,,,
O1054,2023-01-20,GULLKLOCKA,Bedding,55.0,,,
O1054,2023-01-20,HEKTAR,Lamps,930.56,,,
O1056,2023-08-07,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1062,2023-12-10,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1063,2024-06-03,LERSTA,Lamps,5.99,,,
O1063,2024-06-03,OFTAST,Dinnerware,1.49,,,
O1065,2024-11-25,FADO,Lamps,22.0,,,
O1068,2023-02-04,LERSTA,Lamps,5.99,,,
O1068,2023-02-04,TILLREDA,Appliances,957.28,,,
O1073,2024-10-08,FÄLTSKÄR,Bedding,993.45,,,
O1073,2024-10-06,OFTAST,Dinnerware,1.49,,,
O1074,2023-04-16,LERSTA,Lamps,5.99,,,
O1074,2023-04-16,STOENSE,Rugs,140.91,,,
O1076,2023-05-02,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1077,2024-07-29,FADO,Lamps,22.0,,,
O1078,2023-12-25,LAGAN,Appliances,600.0,,,
O1080,2023-08-11,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1081,2024-02-09,LINNMON/ADILS,Tables,260.12,,,
O1082,2023-03-22,LERSTA,Lamps,5.99,,,
O1084,2023-09-02,GULLKLOCKA,Bedding,59.99,,,
O1085,2024-11-17,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1086,2023-04-20,KALLAX,Bookcases & shelving units,49.99,"Shelving unit, 77x77 cm","Ancho: 77.0cm, Alto: 77.0cm, Fondo: 39.0cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/
O1087,2024-06-14,TILLREDA,Appliances,957.28,,,
O1088,2023-11-06,HEKTAR,Lamps,930.56,,,
O1088,2023-11-06,TRÅDFRI,Lighting,15.0,,,
O1089,2024-03-09,INGATORP,Chairs,546.04,"Table and 4 chairs, 155 cm","Ancho: 87.0cm, Alto: 74.0cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
O1091,2024-10-02,ADDE,Chairs,11.2,Chair,"Ancho: 39.0cm, Alto: 77.0cm, Fondo: 47.0cm",https://www.ikea.com/sa/en/p/adde-chair-white-10219178/
O1091,2024-10-02,STOENSE,Rugs,140.91,,,
O1092,2023-01-26,FADO,Lamps,22.0,,,
O1092,2023-01-26,OFTAST,Dinnerware,1.49,,,
O1093,2024-05-24,FADO,Lamps,22.0,,,
O1094,2023-10-14,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1094,2023-10-14,LACK,Tables,10.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1095,2024-02-29,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1095,2024-02-24,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1096,2023-07-23,LAGAN,Appliances,600.0,,,
O1097,2024-09-18,FÄLTSKÄR,Bedding,993.45,,,
O1099,2024-07-08,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1099,2024-07-09,FÄRGRIK,Dinnerware,1.89,,,
O1099,2024-07-09,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1099,2024-07-07,LERSTA,Lamps,5.99,,,
O1099,2024-07-09,LERSTA,Lamps,5.99,,,
O1099,2024-07-14,LERSTA,Lamps,5.99,,,
O1099,2024-07-07,LINNMON/ADILS,Tables,260.12,,,
O1099,2024-07-13,OFTAST,Dinnerware,1.49,,,
O1101,2024-07-28,BRIMNES,Beds,355.25,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1101,2024-07-28,LERSTA,Lamps,5.99,,,
O1101,2024-07-28,LINNMON/ADILS,Tables,260.12,,,
O1102,2024-12-07,HEKTAR,Lamps,574.11,,,
O1102,2024-12-07,TRÅDFRI,Lighting,15.0,,,
O1104,2023-04-13,FÄRGRIK,Dinnerware,1.89,,,
O1104,2023-04-13,STOENSE,Rugs,963.97,,,
O1105,2023-07-01,BRIMNES,Beds,321.05,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1105,2023-06-30,GRÖNLID,Beds,603.37,2-seat sofa-bed,"Ancho: 196.0cm, Alto: 104.0cm, Fondo: 98.0cm",https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/
O1106,2024-08-15,FÄRGRIK,Dinnerware,1.89,,,
O1108,2024-01-20,HEKTAR,Lamps,930.56,,,
O1108,2024-01-20,TRÅDFRI,Lighting,15.0,,,
O1109,2023-03-08,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1111,2023-02-14,FÄLTSKÄR,Bedding,993.45,,,
O1111,2023-02-14,MILLBERGET,Chairs,150.0,Swivel chair,Fondo: 65.0cm,https://www.ikea.com/sa/en/p/millberget-swivel-chair-bomstad-black-90339412/
O1114,2024-03-04,GRÖNLID,Beds,650.0,2-seat sofa-bed,"Ancho: 196.0cm, Alto: 104.0cm, Fondo: 98.0cm",https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/
O1114,2024-03-05,KIVIK,Chairs,800.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1114,2024-03-05,LACK,Tables,10.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1115,2023-07-28,BRIMNES,Beds,321.05,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1115,2023-07-26,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1119,2023-09-05,LACK,Bookcases & shelving units,20.0,"Wall shelf unit, 30x190 cm","Ancho: 30.0cm, Alto: 190.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/
O1121,2023-06-25,FÄRGRIK,Dinnerware,1.89,,,
O1123,2023-04-02,ODGER,Chairs,448.33,Swivel chair,"Ancho: 68.0cm, Fondo: 68.0cm",https://www.ikea.com/sa/en/p/odger-swivel-chair-white-beige-70308685/
O1125,2023-08-25,GRÖNLID,Beds,650.0,2-seat sofa-bed,"Ancho: 196.0cm, Alto: 104.0cm, Fondo: 98.0cm",https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/
O1126,2024-02-14,ADDE,Chairs,11.2,Chair,"Ancho: 39.0cm, Alto: 77.0cm, Fondo: 47.0cm",https://www.ikea.com/sa/en/p/adde-chair-white-10219178/
O1126,2024-02-12,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1126,2024-02-17,KALLAX,Bookcases & shelving units,49.99,"Shelving unit, 77x77 cm","Ancho: 77.0cm, Alto: 77.0cm, Fondo: 39.0cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/
O1126,2024-02-19,KALLAX,Bookcases & shelving units,49.99,"Shelving unit, 77x77 cm","Ancho: 77.0cm, Alto: 77.0cm, Fondo: 39.0cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/
O1127,2023-03-31,GULLKLOCKA,Bedding,59.99,,,
O1127,2023-03-31,VINDUM,Rugs,250.0,,,
O1129,2023-05-17,LERSTA,Lamps,5.99,,,
O1130,2024-11-09,KLIPPAN,Sofas & armchairs,773.41,2-seat sofa,"Ancho: 180.0cm, Alto: 66.0cm, Fondo: 88.0cm",https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/
O1131,2023-12-28,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1131,2024-01-01,KLIPPAN,Sofas & armchairs,773.41,2-seat sofa,"Ancho: 180.0cm, Alto: 66.0cm, Fondo: 88.0cm",https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/
O1133,2023-10-09,FÄLTSKÄR,Bedding,993.45,,,
O1133,2023-10-04,GULLKLOCKA,Bedding,55.0,,,
O1133,2023-10-06,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1133,2023-10-06,LACK,Tables,10.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1133,2023-10-09,ODGER,Chairs,448.33,Swivel chair,"Ancho: 68.0cm, Fondo: 68.0cm",https://www.ikea.com/sa/en/p/odger-swivel-chair-white-beige-70308685/
O1136,2024-01-28,BRIMNES,Beds,321.05,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1136,2024-02-01,KALLAX,Bookcases & shelving units,45.99,"Shelving unit, 77x77 cm","Ancho: 77.0cm, Alto: 77.0cm, Fondo: 39.0cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/
O1136,2024-02-04,LAGAN,Appliances,600.0,,,
O1136,2024-02-05,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1138,2024-07-23,STOENSE,Rugs,140.91,,,
O1140,2024-11-21,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1142,2024-08-07,FÄRGRIK,Dinnerware,1.89,,,
O1144,2024-06-08,LAGAN,Appliances,600.0,,,
O1144,2024-06-05,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1147,2023-08-01,KLIPPAN,Sofas & armchairs,773.41,2-seat sofa,"Ancho: 180.0cm, Alto: 66.0cm, Fondo: 88.0cm",https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/
O1148,2024-01-09,HEMNES,Beds,86.99,"Bed frame, 140x200 cm",Ancho: 154.0cm,https://www.ikea.com/sa/en/p/hemnes-bed-frame-white-stain-s89931560/
O1151,2023-10-17,LINNMON/ADILS,Tables,260.12,,,
O1152,2024-03-20,FÄLTSKÄR,Bedding,993.45,,,
O1152,2024-03-14,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1153,2023-06-13,VINDUM,Rugs,250.0,,,
O1154,2024-11-04,FADO,Lamps,22.0,,,
O1154,2024-11-04,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1154,2024-11-04,STOENSE,Rugs,140.91,,,
O1157,2023-05-09,GULLKLOCKA,Bedding,59.99,,,
O1159,2023-11-07,INGATORP,Chairs,546.04,"Table and 4 chairs, 155 cm","Ancho: 87.0cm, Alto: 74.0cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
O1160,2024-05-27,KALLAX,Bookcases & shelving units,49.99,"Shelving unit, 77x77 cm","Ancho: 77.0cm, Alto: 77.0cm, Fondo: 39.0cm",https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/
O1161,2023-04-18,OFTAST,Dinnerware,1.49,,,
O1165,2023-01-10,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1166,2024-08-20,TILLREDA,Appliances,957.28,,,
O1167,2023-03-24,GULLKLOCKA,Bedding,59.99,,,
O1168,2024-09-12,GULLKLOCKA,Bedding,59.99,,,
O1168,2024-09-12,INGATORP,Chairs,546.04,"Table and 4 chairs, 155 cm","Ancho: 87.0cm, Alto: 74.0cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
O1168,2024-09-12,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1168,2024-09-12,LACK,Tables,10.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1169,2023-11-19,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1171,2023-07-09,LINNMON/ADILS,Tables,260.12,,,
O1172,2024-01-24,KLIPPAN,Sofas & armchairs,773.41,2-seat sofa,"Ancho: 180.0cm, Alto: 66.0cm, Fondo: 88.0cm",https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/
O1172,2024-01-23,TILLREDA,Appliances,957.28,,,
O1173,2023-03-02,FÄLTSKÄR,Bedding,993.45,,,
O1174,2024-08-05,ADDE,Chairs,11.2,Chair,"Ancho: 39.0cm, Alto: 77.0cm, Fondo: 47.0cm",https://www.ikea.com/sa/en/p/adde-chair-white-10219178/
O1174,2024-08-05,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1175,2023-12-18,FADO,Lamps,22.0,,,
O1176,2024-06-22,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1178,2024-05-12,STOENSE,Rugs,140.91,,,
O1179,2023-01-29,HEKTAR,Lamps,930.56,,,
O1179,2023-01-29,TRÅDFRI,Lighting,15.0,,,
O1180,2024-10-13,FÄLTSKÄR,Bedding,993.45,,,
O1180,2024-10-13,KIVIK,Chairs,799.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1180,2024-10-10,KLIPPAN,Sofas & armchairs,773.41,2-seat sofa,"Ancho: 180.0cm, Alto: 66.0cm, Fondo: 88.0cm",https://www.ikea.com/sa/en/p/klippan-2-seat-sofa-kabusa-dark-grey-s09251777/
O1180,2024-10-13,LACK,Tables,10.0,Chaise longue,"Ancho: 90.0cm, Alto: 83.0cm, Fondo: 163.0cm",https://www.ikea.com/sa/en/p/kivik-chaise-longue-skiftebo-dark-grey-s79305512/
O1180,2024-10-14,LAGAN,Appliances,600.0,,,
O1181,2023-04-28,BILLY,Bookcases & shelving units,271.04,"Bookcase, 80x28x202 cm","Ancho: 80.0cm, Alto: 202.0cm, Fondo: 28.0cm",https://www.ikea.com/sa/en/p/billy-bookcase-white-00263850/
O1183,2023-02-18,FÄRGRIK,Dinnerware,1.89,,,
O1184,2024-07-25,MILLBERGET,Chairs,150.0,Swivel chair,Fondo: 65.0cm,https://www.ikea.com/sa/en/p/millberget-swivel-chair-bomstad-black-90339412/
O1185,2023-11-16,BRIMNES,Beds,321.05,"Bed frame w storage and headboard, 90x200 cm","Ancho: 96.0cm, Alto: 110.0cm, Fondo: 54.0cm",https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/
O1185,2023-11-17,LERSTA,Lamps,5.99,,,
O1186,2024-12-01,LINNMON/ADILS,Tables,260.12,,,
O1187,2023-01-04,ADDE,Chairs,11.2,Chair,"Ancho: 39.0cm, Alto: 77.0cm, Fondo: 47.0cm",https://www.ikea.com/sa/en/p/adde-chair-white-10219178/
O1187,2023-01-04,FADO,Lamps,22.0,,,
O1187,2023-01-05,STOENSE,Rugs,140.91,,,
O1187,2023-01-05,VINDUM,Rugs,250.0,,,
O1188,2024-06-15,LAGAN,Appliances,600.0,,,
O1189,2023-09-10,VINDUM,Rugs,250.0,,,
O1191,2023-07-18,PAX,Wardrobes,737.91,"Wardrobe combination, 150x58x201 cm","Ancho: 150.0cm, Alto: 201.0cm, Fondo: 58.0cm",https://www.ikea.com/sa/en/p/pax-wardrobe-combination-white-s29385672/
O1192,2024-11-20,HEKTAR,Lamps,930.56,,,
O1192,2024-11-20,TRÅDFRI,Lighting,15.0,,,
O1194,2024-05-08,GULLKLOCKA,Bedding,59.99,,,
O1197,2023-08-01,LERSTA,Lamps,5.99,,,
O1198,2024-02-20,OFTAST,Dinnerware,1.49,,,
O1199,2023-06-03,INGATORP,Chairs,546.04,"Table and 4 chairs, 155 cm","Ancho: 87.0cm, Alto: 74.0cm",https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
